Source,Target
251,82
251,86
251,111
86,111
237,111
237,40
150,40
150,240
150,140
240,140
240,156
150,156
140,156
55,40
55,88
153,88
188,156
188,167
188,162
167,162
167,159
158,159
156,169
132,169
132,122
159,122
159,235
159,243
233,243
233,29
23,29
23,7
36,7
36,48
23,48
88,48
222,8
7,8
30,8
30,23
30,57
23,57
25,57
25,42
186,42
219,132
219,235
219,216
227,216
227,210
226,210
212,210
212,217
199,217
226,211
186,211
186,238
176,238
176,186
199,178
197,178
197,199
211,199
211,190
199,190
176,190
193,190
176,223
218,223
218,203
159,153
