SITE ID,POINT_X,POINT_Y,COORDINATE,Urban_1_Rural_0
30270,488893.165680999,2860709.58345999,NAD_1983_UTM_Zone_17N,0
90229,456133.641171,3032659.92089999,NAD_1983_UTM_Zone_17N,1
79918,494587.195767,2959172.18169,NAD_1983_UTM_Zone_17N,0
40068,402544.191009,3015863.22442999,NAD_1983_UTM_Zone_17N,0
40271,410733.356711999,3010906.86424,NAD_1983_UTM_Zone_17N,0
70039,443773.407814999,2954371.13683,NAD_1983_UTM_Zone_17N,0
50272,487797.344624,2969485.6025,NAD_1983_UTM_Zone_17N,0
100162,363636.553213,3092663.85528999,NAD_1983_UTM_Zone_17N,1
100372,349517.182703,3097723.05798,NAD_1983_UTM_Zone_17N,1
80294,365293.689469999,3160185.50194999,NAD_1983_UTM_Zone_17N,1
90327,467450.662109,3005213.07082,NAD_1983_UTM_Zone_17N,0
80283,346578.863340999,3156969.89298,NAD_1983_UTM_Zone_17N,1
40145,416327.307053999,3014389.5484,NAD_1983_UTM_Zone_17N,1
30143,456688.503634999,2928831.13591,NAD_1983_UTM_Zone_17N,0
10367,403777.985058,2967745.54694999,NAD_1983_UTM_Zone_17N,0
10228,379774.471179999,2982895.33576,NAD_1983_UTM_Zone_17N,1
100373,362052.383611,3088644.79711,NAD_1983_UTM_Zone_17N,1
100276,374222.780166,3065992.06185999,NAD_1983_UTM_Zone_17N,0
30351,445721.989321,2892748.34201999,NAD_1983_UTM_Zone_17N,0
150302,331616.795231,3089092.57067999,NAD_1983_UTM_Zone_17N,1
150086,341910.989544,3084156.28446999,NAD_1983_UTM_Zone_17N,1
130333,353804.247794999,3036698.65793,NAD_1983_UTM_Zone_17N,1
130180,350437.287024,3045390.72564999,NAD_1983_UTM_Zone_17N,1
109953,367266.906496,3085725.17407,NAD_1983_UTM_Zone_17N,1
110177,419820.930992999,3189510.78556,NAD_1983_UTM_Zone_17N,1
120184,420831.526065999,2934898.22225,NAD_1983_UTM_Zone_17N,1
140199,330435.234654,3124485.76623,NAD_1983_UTM_Zone_17N,1
110262,435887.401919999,3202553.18557,NAD_1983_UTM_Zone_17N,1
140079,383789.169935,3147767.53661999,NAD_1983_UTM_Zone_17N,1
109962,381664.633869,3100813.11801999,NAD_1983_UTM_Zone_17N,1
150183,334509.829856999,3062685.91618999,NAD_1983_UTM_Zone_17N,1
120203,417734.270895,2942984.17118,NAD_1983_UTM_Zone_17N,1
150295,334557.216993,3076387.71985,NAD_1983_UTM_Zone_17N,1
120273,424348.994868999,2959785.95744,NAD_1983_UTM_Zone_17N,0
130146,369216.73741,3039721.09683999,NAD_1983_UTM_Zone_17N,0
110246,436540.977599999,3191876.55529,NAD_1983_UTM_Zone_17N,1
109955,361153.74809,3112837.7108,NAD_1983_UTM_Zone_17N,1
160275,434483.012542999,3106117.94976999,NAD_1983_UTM_Zone_17N,1
180358,388731.757332,3172500.92953999,NAD_1983_UTM_Zone_17N,0
160274,404176.931362,3090177.08601,NAD_1983_UTM_Zone_17N,1
290320,335571.317473999,3344173.95753999,NAD_1983_UTM_Zone_17N,1
290269,339565.984998,3347111.26327,NAD_1983_UTM_Zone_17N,0
39950,425857.032374,2907633.35821999,NAD_1983_UTM_Zone_17N,1
20324,354570.695284,3192466.30017999,NAD_1983_UTM_Zone_17N,1
10350,399523.724958,2977591.25242999,NAD_1983_UTM_Zone_17N,0
20044,348365.17131,3178574.68212,NAD_1983_UTM_Zone_17N,1
30094,423699.223219999,2889621.12409,NAD_1983_UTM_Zone_17N,1
100321,358639.47852,3104064.56032999,NAD_1983_UTM_Zone_17N,1
140190,364889.265406,3120884.08252,NAD_1983_UTM_Zone_17N,1
150066,319268.402770999,3080344.26475,NAD_1983_UTM_Zone_17N,1
170181,351236.838128999,3013658.11621,NAD_1983_UTM_Zone_17N,1
160319,418911.88024,3060963.30947,NAD_1983_UTM_Zone_17N,0
320112,296312.478141999,3387125.71731999,NAD_1983_UTM_Zone_17N,0
340239,312249.265613,3236030.56351999,NAD_1983_UTM_Zone_17N,0
160310,437205.348033,3117878.50004999,NAD_1983_UTM_Zone_17N,1
260323,367117.727103999,3277825.02999,NAD_1983_UTM_Zone_17N,1
160230,419483.377969,3121989.67444999,NAD_1983_UTM_Zone_17N,0
