SITE ID,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01
30270,4490.0,4093.0,4101.0,4078.0,4354.0,3010.0,2685.0,2709.0,2963.0,3424.0,3636.0,3810.0,2951.0,2819.0,2864.0,2975.0,3928.0,4278.0,4304.0,3889.0,3075.0,2812.0,2920.0,3615.0,3991.0,4107.0,2890.0,2886.0,2895.0,3139.0,3290.0,3398.0,3543.0,3525.0,3142.0,3000.0,3246.0,3799.0,4832.0,4423.0,3409.0,3345.0,3409.0,3625.0,4203.0,4666.0,4464.0,4180.0,3575.0,3551.0,3632.0,4332.0,4729.0,4658.0,3454.0,3259.0,3175.0,3709.0,4152.0,4837.0,4870.0,3437.0,3040.0,3130.0,3229.0,3753.0,4210.0,4274.0,3504.0,3293.0,3329.0,3277.0,3468.0,3866.0,3849.0,3022.0,2528.0,2384.0,2237.0,2399.0,2451.0,2257.0,1488.0,1372.0,1322.0,1336.0,1403.0,1522.0,1539.0,1224.0,357.0,788.0,1278.0,1151.0,1208.0,1193.0,956.0,1026.0,1040.0,1106.0,1312.0,1694.0,1282.0,1160.0,1161.0,1193.0,1056.0,1478.0,2032.0,2157.0,1354.0,1257.0,1408.0,1380.0,1637.0,1873.0,1781.0,1459.0,1513.0,1528.0,1307.0,1947.0,3058.0,3321.0,1682.0,1766.0,1686.0,1984.0,2673.0,3976.0,2050.0,1830.0,1847.0,2356.0,2898.0,2092.0,3293.0,4211.0,1962.0,1724.0,1817.0,2050.0,2923.0,3770.0,2307.0,2705.0,1752.0,1640.0,1774.0,2515.0,3156.0,3893.0,2231.0
90229,5043.0,6657.0,5939.0,4427.0,5480.0,6705.0,7042.0,7302.0,7490.0,6782.0,5162.0,5834.0,6991.0,7057.0,7533.0,7347.0,6501.0,4950.0,5575.0,6790.0,6797.0,6980.0,7526.0,6615.0,5111.0,5776.0,7061.0,7205.0,7397.0,7431.0,6196.0,4615.0,5825.0,7145.0,7281.0,7238.0,7407.0,6493.0,5181.0,6019.0,7278.0,7393.0,7443.0,7512.0,6729.0,5278.0,5934.0,7284.0,7317.0,7404.0,7681.0,6611.0,5115.0,5981.0,7332.0,7425.0,7471.0,8016.0,7294.0,5923.0,6268.0,7295.0,7548.0,8148.0,7894.0,6920.0,5277.0,6196.0,7853.0,7671.0,7773.0,8004.0,6887.0,5106.0,5590.0,6493.0,6664.0,6546.0,6324.0,5498.0,3997.0,5163.0,5858.0,5906.0,5968.0,5753.0,5921.0,3767.0,2917.0,5671.0,5559.0,5548.0,5694.0,5330.0,3214.0,2304.0,4950.0,5219.0,5188.0,5300.0,5044.0,3416.0,2548.0,5422.0,5402.0,5459.0,5195.0,5445.0,3281.0,3153.0,5204.0,5590.0,5971.0,5903.0,5193.0,3748.0,3045.0,5668.0,5962.0,5945.0,5453.0,6136.0,4332.0,3461.0,5939.0,6040.0,6066.0,6245.0,6433.0,4639.0,3551.0,6010.0,6136.0,6265.0,7096.0,6315.0,4330.0,3759.0,5991.0,6140.0,6523.0,6681.0,6672.0,4301.0,3408.0,3479.0,6150.0,4802.142857142857,4533.734693877551,4228.268221574343,4217.877967513536,4333.574820015469,2924.0
79918,16324.0,19858.0,17848.0,14527.0,17224.0,18159.0,17958.0,18351.0,19939.0,17742.0,14140.0,16939.0,18345.0,18212.0,18736.0,21756.0,19778.0,15296.0,17621.0,19675.0,18203.0,18560.0,20734.0,18784.0,14929.0,17470.0,18922.0,18648.0,19004.0,20559.0,17699.0,14540.0,17904.0,19331.0,18848.0,19236.0,21722.0,19666.0,15800.0,18320.0,19649.0,19581.0,20379.0,23355.0,20680.0,15888.0,18117.0,20211.0,18999.0,19411.0,21776.0,19467.0,16234.0,18674.0,19276.0,18755.0,19274.0,21436.0,19663.0,16037.0,18608.0,19145.0,18973.0,19639.0,21998.0,19766.0,16441.0,18310.0,19145.0,18770.0,19331.0,21126.0,18897.0,14904.0,16663.0,17570.0,16700.0,16685.0,17596.0,15027.0,11057.0,14754.0,15647.0,15474.0,15445.0,15157.0,15958.0,11044.0,9212.0,13910.0,12645.0,13883.0,14287.0,13709.0,9242.0,7447.0,12832.0,12610.0,12783.0,13369.0,13730.0,10090.0,7951.0,13561.0,13247.0,13769.0,13573.0,14497.0,11272.0,9741.0,14391.0,14145.0,14366.0,14619.0,15463.0,11417.0,9593.0,14707.0,14940.0,14983.0,14351.0,16998.0,13288.0,11718.0,15718.0,15115.0,14127.372549019608,15463.0,17944.0,14582.0,11372.0,15562.0,15504.0,15421.0,16354.0,17143.0,13800.0,12863.0,15513.0,15133.0,15995.0,14784.727272727272,17612.0,14048.0,10584.0,12012.0,15819.0,15544.0,15764.0,17863.0,13195.0,12087.0,16076.0
40068,4094.0,5224.0,4506.0,3723.0,4316.0,4852.0,4923.0,5165.0,5557.0,5287.0,4242.0,4562.0,5166.0,5200.0,5459.0,6042.0,5463.0,4200.0,4732.0,5339.0,5324.0,5333.0,5710.0,5406.0,4470.0,4815.0,5263.0,5233.0,5448.0,6044.0,5178.0,3938.0,4655.0,5394.0,5456.0,5356.0,5841.0,5805.0,4685.0,4830.0,5388.0,5869.0,5970.0,6505.0,6152.0,5097.0,4860.0,5550.0,5606.0,5584.0,6026.0,5844.0,5318.0,5548.0,5502.0,5617.0,5793.0,6088.0,5987.0,5333.0,5381.0,5483.0,5637.0,6998.0,6463.0,7291.0,4893.0,5294.0,8613.0,5798.0,6130.0,6510.0,5723.0,4434.0,5025.0,5253.0,5008.0,4962.0,5055.0,4200.0,3035.0,5329.0,4881.0,4639.0,4371.0,4503.0,4452.0,2854.0,2567.0,4211.0,4418.0,4346.0,4629.0,3763.0,2371.0,1731.0,3529.0,3884.0,4074.0,4212.0,4188.0,2556.0,2043.0,4421.0,4215.0,4266.0,4077.0,4374.0,2904.0,2667.0,4313.0,4507.0,4499.0,4675.0,4145.0,2911.0,2891.0,4731.0,4680.0,4734.0,4134.0,5155.0,3978.0,3333.0,4869.0,4647.0,4721.0,4840.0,5386.0,4140.0,3070.0,4903.0,4900.0,4696.0,4995.0,5113.0,4059.0,3363.0,4687.0,4645.0,4745.0,4767.0,5557.0,3841.0,2783.0,3057.0,4635.0,4617.0,4523.0,5028.0,3701.0,3180.0,4337.0
40271,5932.0,7150.0,6500.0,5493.0,5995.0,6751.0,6855.0,7027.0,7511.0,7257.0,6398.0,6316.0,7004.0,7105.0,7303.0,7760.0,7432.0,6383.0,6464.0,6956.0,6931.0,7007.0,7760.0,7472.0,6356.0,6459.0,7064.0,7121.0,7143.0,7832.0,7097.0,5820.0,6253.0,7249.0,7261.0,7488.0,7837.0,7409.0,6399.0,6719.0,7408.0,7536.0,7952.0,8186.0,7779.0,6739.0,6861.0,7790.0,7784.0,7725.0,8396.0,7939.0,6780.0,7267.0,7882.0,7662.0,7727.0,8492.0,8199.0,7141.0,7049.0,7714.0,7858.0,8300.0,8600.0,8143.0,6661.0,7416.0,7706.0,7740.0,8064.0,8557.0,7924.0,6648.0,6583.0,6647.0,6374.0,6380.0,6699.0,5977.0,4779.0,3837.0,5655.0,5410.0,5460.0,5398.0,5889.0,4861.0,4031.0,5197.0,5133.0,5264.0,5406.0,4889.0,3877.0,2968.0,4836.0,4881.0,4850.0,5021.0,5220.0,4451.0,3273.0,4920.0,4866.0,5031.0,5107.0,5539.0,4759.0,4132.0,5023.0,5272.0,5360.0,5389.0,5185.0,4677.0,4181.0,5602.0,5673.0,5616.0,5337.0,6482.0,5670.0,4901.0,5747.0,5777.0,5899.0,5980.0,7042.0,6297.0,4774.0,5972.0,6024.0,5971.0,6198.0,6830.0,5519.0,4857.0,5685.0,5758.0,6116.0,6102.0,6906.0,5872.0,4288.0,4463.0,5885.0,6056.0,5886.0,6569.0,5837.0,4992.0,5786.0
70039,14972.0,19068.0,18002.0,15217.0,16460.0,18443.0,18420.0,18813.0,19933.0,18923.0,15710.0,16696.0,18861.0,19158.0,19436.0,20705.0,19958.0,16661.0,17131.0,19162.0,19153.0,19188.0,20803.0,19961.0,16548.0,17502.0,19102.0,19273.0,19483.0,20643.0,19337.0,16085.0,17064.0,19431.0,19444.0,19656.0,21000.0,20036.0,16878.0,17977.0,19946.0,20098.0,20635.0,21717.0,20787.0,17180.0,18233.0,20079.0,20178.0,20366.0,21524.0,21611.0,18234.0,18497.0,19947.0,19932.0,20336.0,21922.0,21521.0,18462.0,18745.0,20071.0,20332.0,20788.0,21621.0,21099.0,17711.0,18194.0,20146.0,19891.0,20090.0,21111.0,19727.0,15583.0,16358.0,18164.0,17359.0,17087.0,17614.0,15500.0,11333.0,11684.0,15149.0,14901.0,14612.0,14485.0,15425.0,11029.0,8627.0,13717.0,13751.0,14095.0,14908.0,13149.0,8666.0,6665.0,12277.0,12824.0,12917.0,13294.0,14064.0,10020.0,7282.0,13348.0,13435.0,14133.0,14034.0,14624.0,11755.0,9370.0,14171.0,14433.0,13571.0,14130.0,14559.0,11256.0,8853.0,15157.0,14873.0,15067.0,14387.0,17267.0,14165.0,11491.0,15693.0,15454.0,15516.0,16224.0,18155.0,15578.0,11352.0,16071.0,16035.0,16682.0,16926.0,17413.0,15284.0,12502.0,15509.0,15696.0,16502.0,16789.0,18898.0,14731.0,11428.0,11671.0,16564.0,17046.0,16731.0,18616.0,15378.0,12509.0,16692.0
50272,4092.0,5126.0,4510.0,3446.0,4018.0,4605.0,4566.0,4686.0,5079.0,4581.0,3536.0,4016.0,4762.0,4600.0,4658.0,5088.0,4660.0,3898.0,4119.0,4630.0,4576.0,4591.0,5044.0,4724.0,3552.0,3865.0,4718.0,4742.0,4721.0,4926.0,4332.0,3574.0,4246.0,4774.0,4933.0,4971.0,5156.0,4817.0,4055.0,4250.0,4805.0,4860.0,5106.0,5545.0,5412.0,4455.0,4590.0,4999.0,5087.0,5208.0,5414.0,4823.0,4193.0,4476.0,5064.0,5155.0,5162.0,5517.0,4901.0,3963.0,4672.0,5039.0,5106.0,5442.0,5868.0,5751.0,4637.0,4645.0,5361.0,5103.0,5081.0,5296.0,4690.0,3515.0,4012.0,4587.0,4569.0,4579.0,4795.0,3914.0,2823.0,7263.0,3979.0,4124.0,4019.0,3744.0,3821.0,2688.0,2096.0,3531.0,3580.0,3515.0,3797.0,3449.0,2150.0,1621.0,3261.0,3382.0,3335.0,3364.0,3474.0,2331.0,1733.0,3589.0,3448.0,3542.0,3653.0,3967.0,2777.0,2380.0,3694.0,3694.0,3973.0,3801.0,3913.0,2853.0,2167.0,3884.0,3895.0,3766.0,3642.0,4578.0,3479.0,2980.0,4136.0,4213.0,4007.0,4397.0,4705.0,3547.0,2452.0,4043.0,4270.0,3834.0,3823.0,4010.0,2900.0,2464.0,3649.0,3465.0,3546.0,3659.0,4119.0,2969.0,2152.0,2147.0,3596.0,3470.0,3554.0,3904.0,3047.0,2539.0,3563.0
100162,22405.0,32471.0,28838.0,20545.0,24699.0,32804.0,34084.0,34291.0,35344.0,30852.0,22033.0,25133.0,34020.0,34637.0,35377.0,35908.0,31372.0,22849.0,23265.0,31149.0,33300.0,33819.0,34882.0,30514.0,21557.0,24287.0,33354.0,33918.0,34053.0,34315.0,30664.0,21199.0,24457.0,33752.0,34591.0,35832.0,36407.0,33069.0,24606.0,25530.0,34335.0,34574.0,35896.0,35899.0,32351.0,24077.0,25039.0,34001.0,36799.0,36607.0,36339.0,31432.0,21278.0,25772.0,34966.0,35153.0,35655.0,37043.0,32572.0,24334.0,26119.0,34607.0,35390.0,35533.0,35956.0,30837.0,23006.0,25487.0,33542.0,35246.0,35107.0,34811.0,29253.0,20203.0,22405.0,29409.0,28229.0,27050.0,26632.0,21965.0,14185.0,8574.0,24407.0,23804.0,23766.0,23371.0,23639.0,11716.0,9025.0,21494.0,21582.0,23615.0,21856.0,21765.0,8504.0,4851.0,19782.0,20273.0,20862.0,20870.0,20479.0,13068.0,9055.0,21190.0,20974.0,21564.0,21129.0,22618.0,13564.0,10701.0,21194.0,22351.0,22237.0,22450.0,20239.0,14949.0,11121.0,22684.0,22727.0,22638.0,22572.0,24613.0,16357.0,11956.0,23895.0,24355.0,24230.0,25129.0,26319.0,17624.0,12505.0,25384.0,25241.0,25585.0,25512.0,27072.0,18493.0,13690.0,24824.0,25698.0,26237.0,26279.0,27940.0,19483.0,13960.0,14434.0,27038.0,26799.0,26724.0,27685.0,20211.0,14298.0,25129.0
100372,50578.0,63106.0,54477.0,42473.0,53985.0,65944.0,67687.0,69149.0,70135.0,61439.0,47409.0,56944.0,70473.0,71504.0,71911.0,70401.0,62256.0,47687.0,52500.0,65438.0,68818.0,70017.0,71070.0,60683.0,45934.0,56413.0,69353.0,69606.0,70008.0,70658.0,61085.0,44862.0,54962.0,69621.0,64299.0,69435.0,60674.0,53789.0,47202.0,58305.0,70724.0,71529.0,73194.0,72749.0,63153.0,49522.0,54956.0,68393.0,71497.0,71583.0,71692.0,62800.0,50163.0,63862.0,79464.0,77871.0,78178.0,76738.0,66480.0,51922.0,58563.0,72098.0,73798.0,74258.0,73645.0,62345.0,49268.0,58164.0,71188.0,71824.0,71807.0,70160.0,58278.0,44417.0,50882.0,58155.0,55843.0,53937.0,52737.0,44512.0,32028.0,19851.0,45262.0,43141.0,42922.0,41718.0,43026.0,24721.0,19257.0,37958.0,38102.0,39247.0,38864.0,38177.0,25168.0,17702.0,36578.0,36358.0,37495.0,37192.0,38194.0,27987.0,19922.0,36923.0,37533.0,38950.0,38140.0,41577.0,30442.0,23535.0,39036.0,40519.0,41421.0,41084.0,37385.0,33775.0,25569.0,42533.0,42561.0,43361.0,43041.0,46941.0,36662.0,26749.0,44789.0,46163.0,46344.0,43786.0,49766.0,39760.0,29402.0,46469.0,47542.0,48979.0,48567.0,51463.0,40637.0,30244.0,47545.0,50988.0,52029.0,51442.0,54280.0,43012.0,32542.0,32651.0,52965.0,52867.0,52220.0,56075.0,44802.0,33784.0,50170.0
80294,8993.0,10530.0,9600.0,8198.0,9456.0,11557.0,11451.0,11813.0,12414.0,11178.0,9156.0,10041.0,11512.0,11818.0,11889.0,12382.0,11284.0,8744.0,9144.0,10729.0,11312.0,11383.0,12021.0,11024.0,8815.0,9753.0,11392.0,11636.0,11604.0,11942.0,10638.0,8706.0,10058.0,11660.0,12020.0,11866.0,12320.0,11185.0,9197.0,10352.0,11993.0,12147.0,13008.0,13223.0,11529.0,9340.0,9519.0,11009.0,12252.0,12323.0,12533.0,11586.0,9437.0,10303.0,11559.0,11532.0,12090.0,12760.0,11559.0,9403.0,10518.0,12181.0,12348.0,12403.0,12618.0,11672.0,9588.0,10398.0,11798.0,12087.0,12462.0,12271.0,10761.0,8822.0,9086.0,9630.0,9464.0,9205.0,9151.0,8268.0,6747.0,4703.0,8040.0,8210.0,7986.0,8202.0,8582.0,6779.0,5841.0,7574.0,7807.0,8198.0,8409.0,7499.0,5797.0,4069.0,6879.0,7105.0,7464.0,7506.0,7502.0,6682.0,5004.0,7272.0,7437.0,7527.0,7231.0,8306.0,6294.0,6313.0,7130.0,8124.0,8171.0,8245.0,7169.0,7488.0,6757.0,8266.0,8265.0,8670.0,8147.0,9558.0,8187.0,6896.0,8552.0,9032.0,8921.0,9081.0,9668.0,8499.0,6931.0,8488.0,8751.0,8973.0,8861.0,9729.0,8500.0,7037.0,7996.0,8912.0,9272.0,9202.0,9667.0,8495.0,7204.0,6291.0,9232.0,9575.0,8012.0,6548.0,5260.0,4713.0,5312.0
